Progress,Duration (in seconds),Finished,S1_1_1,S1_2_1,S2-1_1,S2-2_1,S3-1_1,S3-2_1,S4-1_1,S4-2_1,S5-1_1,S5-2_1,S6-1_1,S6-2_1,S7-1_1,S7-2_1,S8-1_1,S8-2_1,S9-1_1,S9-2_1,S10-1_1,S10-2_1,S11-1_1,S11-2_1,S12-1_1,S12-2_1,S13-1_1,S13-2_1,S14-1_1,S14-2_1,S15-1_1,S15-2_1,S16-1_1,S16-2_1,S17-1_1,S17-2_1,S18-1_1,S18-2_1,demo,age,gender,ethnicity,ethnicity_6_TEXT,education,ses,S1A,S2A,S3A,S4A,S5A,S6A,S7A,S8A,S9A,S10A,S11A,S12A,S13A,S14A,S15A,S16A,S17A,S18A
100,378,TRUE,35,48,,,57,35,68,55,,,,,69,77,57,74,57,45,74,61,,,,,64,70,,,45,55,70,30,82,91,79,84,,44,Male,White / Caucasian,,College Graduate (4 year),Rung 5,search for the medication on the black market,,get an advance payday loan,pay for a day-pass to the gym,,,give her ticket to Ted,make cat noises at him until he leaves,honk an angry message in Morse code,call her a cab,,,borrow their mom’s wedding ring,,organize a fishing crew,yell at Todd for getting stuck,stage a break-in at the store,hide him in the snow
100,355,TRUE,,,100,5,100,0,,,10,0,100,45,100,90,,,80,0,100,0,100,0,,,100,90,,,,,100,50,100,95,100,15,,41,Male,White / Caucasian,,College Graduate (4 year),Rung 4,,take a public bus,sell one of his kidneys,,call her mom,huddle to conserve energy,steal someone else's ticket,,take a detour at the next exit,take her to his house but no further,ask to use the mall's loudspeaker,,steal someone else’s ring,,,get her arm stuck in solidarity,stage a break-in at the store,leave her dogs with him
100,599,TRUE,,,10,50,,,75,15,100,50,,,50,15,,,100,50,50,20,100,50,20,20,0,10,100,50,100,85,15,15,,,,,,61,Female,White / Caucasian,,Some College,Rung 4,,reschedule for a later flight,,borrow someone's phone,lie that her house burnt down,,go without Ted,,ram into the car,call her a cab,light a fire under the car,store the knife in an airport locker,tell his sister as soon as possible,pitch his situation to a reality TV network,sell all the food to the highest bidder,leave Todd to save herself,,
100,480,TRUE,15,4,70,19,,,,,45,100,65,0,100,100,,,30,50,88,31,85,0,75,30,93,0,100,35,20,12,,,,,,,,38,Female,White / Caucasian,,College Graduate (4 year),Rung 6,search for the medication on the black market,try to convince a passing driver to trade cars,,,quickly try to redo the assignment,throw away all of the food,steal someone else's ticket,,honk at the driver until they pull over,steal whatever she has on her,check that the doors are locked,take a train instead,steal someone else’s ring,pitch his situation to a reality TV network,ration their food,,,
100,613,TRUE,90,77,,,90,75,,,80,98,80,24,,,30,50,95,30,80,80,,,75,81,55,55,,,90,91,,,90,90,92,90,,62,Male,White / Caucasian,,Master's Degree (MS),Rung 7,take out a loan,,explain the situation to his boss,,lie that her house burnt down,boost morale with a three-legged race,,ask the parents if they know him,honk at the driver until they pull over,refuse to drive her,,store the knife in an airport locker,steal someone else’s ring,,sell all the food to the highest bidder,,leave the store unattended,finish the race
100,315,TRUE,65,19,71,14,,,70,54,16,16,,,89,14,60,76,65,11,,,76,22,,,35,14,,,93,82,1,4,,,23,12,,37,Female,White / Caucasian,,Vocational/Technical School (2 year),Rung 5,take out a loan,try to convince a passing driver to trade cars,,pay for a day-pass to the gym,call her mom,,teleport into the concert,ask the parents if they know him,take a detour at the next exit,,ask to use the mall's loudspeaker,,call the taxi company,,serve engine fuel to the passengers,yell at Todd for getting stuck,,leave her dogs with him
100,573,TRUE,75,25,,,80,5,60,30,,,25,20,,,81,60,90,20,95,10,,,,,90,50,,,40,5,100,25,40,10,50,10,,57,Male,White / Caucasian,,College Graduate (4 year),Rung 6,take out a loan,,get an advance payday loan,pay for a day-pass to the gym,,search for a water source,,keep an eye on him,honk an angry message in Morse code,yell in gibberish until she leaves,,,run away,,request supplies to be airdropped,leave Todd to save herself,call his lawyer,leave her dogs with him
100,591,TRUE,100,45,,,,,95,40,100,1,,,15,10,50,55,,,90,5,1,0,99,50,100,1,,,99,25,100,99,,,99,50,,49,Female,White / Caucasian,,High School or equivalent,Rung 2,commit credit card fraud,,,lie that she left her card inside,copy a friend's assignment,,go without Ted,wave to the parents,,yell in gibberish until she leaves,call emergency services,threaten security with the knife,blame it on the maid of honor,,sell all the food to the highest bidder,saw Todd’s arm off,,hide him in the snow
100,396,TRUE,41,36,32,21,51,61,63,21,,,59,22,,,,,83,60,51,37,,,53,50,,,51,60,86,69,50,45,,,61,50,,24,Female,White / Caucasian,,Some College,Rung 8,go on strike for better wages,call a taxi,explain the situation to his boss,pull the fire alarm,,steal all of the food and water,,,tailgate the car,turn invisible,,take a train instead,,abandon his father,throw disobedient passengers off the boat,hike until she finds cell service,,leave her dogs with him
100,528,TRUE,33,34,,,28,29,72,37,99,99,,,,,94,65,57,55,,,100,100,,,,,34,28,59,54,98,95,96,93,96,99,,57,Female,White / Caucasian,,Some College,Rung 7,take out a loan,,explain the situation to his boss,crawl past the front desk,bring in the assignment the next day,,,wave to the parents,honk at the driver until they pull over,,slash the tires,,,get another job,organize a fishing crew,yell at Todd for getting stuck,ask a friend to take over,steal his dogs for extra speed
